wavelength (nm),n_o,k_o,n_e,k_e
710.7616633,2.864689,0.061425,2.585514,0.045325
712.3493945,2.863969,0.061246,2.584918,0.0452
713.9372461,2.863255,0.061068,2.584325,0.045075
715.5251724,2.862545,0.060892,2.583736,0.044951
717.1127121,2.861841,0.060717,2.583151,0.044828
718.7002296,2.861143,0.060543,2.58257,0.044707
720.2876777,2.86045,0.06037,2.581992,0.044586
721.8754292,2.859761,0.060199,2.581418,0.044466
723.4625972,2.859078,0.060029,2.580848,0.044348
725.0499758,2.8584,0.059859,2.580281,0.04423
726.6366699,2.857726,0.059692,2.579717,0.044114
728.2239081,2.857058,0.059525,2.579158,0.043999
729.8107925,2.856394,0.05936,2.578602,0.043885
731.3977045,2.855736,0.059196,2.578049,0.043772
732.9845994,2.855082,0.059033,2.5775,0.043661
734.5709967,2.854432,0.058871,2.576955,0.04355
736.1577193,2.853788,0.05871,2.576412,0.043441
737.7442879,2.853148,0.058551,2.575874,0.043334
739.3306559,2.852512,0.058393,2.575339,0.043227
740.9167767,2.851882,0.058236,2.574807,0.043122
742.5030476,2.851255,0.05808,2.574278,0.043018
744.0889804,2.850633,0.057925,2.573753,0.042915
745.6749754,2.850016,0.057772,2.573232,0.042814
747.2609901,2.849403,0.057619,2.572713,0.042714
748.8465291,2.848794,0.057468,2.572198,0.042615
750.4324519,2.84819,0.057318,2.571687,0.042518
752.0178081,2.847589,0.057169,2.571178,0.042422
753.6034641,2.846993,0.057022,2.570673,0.042328
755.1889212,2.846402,0.056875,2.570172,0.042234
756.7741346,2.845814,0.05673,2.569674,0.042143
758.3590591,2.845231,0.056585,2.569179,0.042052
759.9441149,2.844652,0.056442,2.568688,0.041963
761.5292621,2.844076,0.0563,2.5682,0.041876
763.1139905,2.843505,0.056159,2.567715,0.04179
764.6987252,2.842938,0.05602,2.567234,0.041705
766.283425,2.842375,0.055881,2.566757,0.041621
767.8680486,2.841816,0.055743,2.566283,0.041539
769.4525541,2.841261,0.055606,2.565812,0.041458
771.0368994,2.84071,0.055471,2.565345,0.041378
772.6210421,2.840163,0.055336,2.564881,0.041299
774.2054229,2.839619,0.055202,2.56442,0.041222
775.789519,2.83908,0.055069,2.563963,0.041145
777.3732871,2.838544,0.054938,2.563509,0.04107
778.9571726,2.838012,0.054807,2.563059,0.040996
780.5406462,2.837484,0.054677,2.562612,0.040922
782.12465,2.836959,0.054548,2.562169,0.04085
783.7081605,2.836438,0.05442,2.561728,0.040779
785.2916299,2.835921,0.054293,2.561291,0.040708
786.8745194,2.835407,0.054166,2.560858,0.040639
788.4577861,2.834897,0.054041,2.560427,0.04057
790.0408924,2.83439,0.053916,2.56,0.040503
791.623798,2.833887,0.053792,2.559576,0.040436
793.2069696,2.833387,0.053669,2.559155,0.04037
794.7893533,2.832891,0.053547,2.558737,0.040305
796.3724363,2.832398,0.053426,2.558322,0.04024
797.9546485,2.831908,0.053305,2.557911,0.040177
799.536973,2.831422,0.053185,2.557503,0.040114
801.1193736,2.830939,0.053066,2.557097,0.040052
802.7018139,2.83046,0.052948,2.556695,0.03999
804.2837356,2.829983,0.052831,2.556296,0.039929
805.8656191,2.82951,0.052714,2.555899,0.039869
807.4474272,2.829041,0.052598,2.555506,0.03981
809.0296501,2.828574,0.052482,2.555116,0.039751
810.6111964,2.82811,0.052368,2.554729,0.039693
812.1925535,2.82765,0.052254,2.554344,0.039635
813.7742171,2.827193,0.05214,2.553962,0.039578
815.3556186,2.826738,0.052028,2.553584,0.039522
816.9367189,2.826287,0.051916,2.553208,0.039466
818.5174786,2.825839,0.051805,2.552835,0.039411
820.0984005,2.825393,0.051694,2.552465,0.039356
821.6794512,2.824951,0.051584,2.552097,0.039301
823.2600499,2.824511,0.051474,2.551733,0.039248
824.840705,2.824075,0.051366,2.55137,0.039194
826.421382,2.823641,0.051257,2.551011,0.039141
828.0014933,2.82321,0.05115,2.550654,0.039089
829.5821076,2.822782,0.051043,2.550301,0.039036
831.1620818,2.822357,0.050936,2.549949,0.038985
832.7419333,2.821934,0.050831,2.5496,0.038933
834.3221877,2.821514,0.050725,2.549254,0.038882
835.9016881,2.821097,0.050621,2.548911,0.038832
837.4815234,2.820683,0.050516,2.548569,0.038782
839.0610955,2.820271,0.050413,2.548231,0.038732
840.6403675,2.819862,0.05031,2.547895,0.038682
842.2198746,2.819456,0.050207,2.547561,0.038633
843.7990114,2.819052,0.050105,2.54723,0.038584
845.3783168,2.81865,0.050003,2.546901,0.038535
846.9571809,2.818252,0.049902,2.546575,0.038487
848.5361461,2.817855,0.049802,2.546251,0.038439
850.1145977,2.817461,0.049702,2.545929,0.038391
851.6930821,2.81707,0.049602,2.54561,0.038343
853.271567,2.816681,0.049503,2.545293,0.038296
854.8500195,2.816295,0.049404,2.544978,0.038249
856.4284069,2.815911,0.049306,2.544666,0.038202
858.0066961,2.815529,0.049209,2.544355,0.038155
859.5842576,2.81515,0.049111,2.544047,0.038108
861.1622477,2.814773,0.049014,2.543742,0.038062
862.7400386,2.814398,0.048918,2.543438,0.038016
864.3175963,2.814026,0.048822,2.543137,0.03797
865.8948865,2.813656,0.048727,2.542837,0.037924
867.4724815,2.813288,0.048632,2.54254,0.037878
869.049744,2.812922,0.048537,2.542245,0.037833
870.626639,2.812559,0.048443,2.541952,0.037787
872.2037446,2.812198,0.048349,2.541661,0.037742
873.7804164,2.811839,0.048255,2.541372,0.037697
875.3572365,2.811482,0.048162,2.541085,0.037651
876.9341756,2.811127,0.048069,2.5408,0.037606
878.5105817,2.810775,0.047977,2.540517,0.037561
880.0864185,2.810424,0.047885,2.540236,0.037517
881.662903,2.810076,0.047794,2.539956,0.037472
883.2387535,2.809729,0.047702,2.539679,0.037427
884.8151956,2.809385,0.047611,2.539404,0.037382
